syscall_nr,name,count,total_ns,avg_ns
260,wait4,123,4.86358E+11,3954132553
98,futex,15361,3.58732E+11,23353449
133,sigsuspend,3,1.80006E+11,60002074800
63,read,34966,1.74061E+11,4978003
73,ppoll,836,79399188000,94975105
72,pselect6,68,13978628300,205568063
56,openat,22716,10864972000,478296
291,statx,57146,10518714500,184067
35,unlinkat,1523,7903870500,5189672
226,mprotect,54889,5698744400,103823
221,execve,140,3920092600,28000661
82,fsync,16,3263989000,203999312
34,mkdirat,663,2624958400,3959213
220,clone,53,1976056900,37284092
207,recvfrom,25,1675464600,67018584
61,getdents64,3451,1648385900,477654
64,write,7699,1498156400,194591
435,clone3,258,1000447200,3877702
214,brk,2815,472951400,168011
57,close,13508,378211400,27999
215,munmap,901,325420500,361177
79,newfstatat,1481,277895300,187640
113,clock_gettime,15544,246658100,15868
80,fstat,2780,216575700,77904
222,mmap,2677,198571100,74176
78,readlinkat,2354,110259200,46839
67,pread64,146,77718600,532319
48,faccessat,295,53210700,180375
276,renameat2,6,34683800,5780633
62,lseek,8740,32662000,3737
37,linkat,7,21177800,3025400
135,sigprocmask,1295,19355800,14946
88,utimensat,23,19056400,828539
17,getcwd,1154,18214000,15783
29,ioctl,978,17486200,17879
233,madvise,56,15874800,283478
123,sched_getaffinity,320,12178500,38057
134,sigaction,1025,12043400,11749
25,fcntl,1158,10886800,9401
129,kill,4,10437700,2609425
278,getrandom,300,8952100,29840
132,sigaltstack,733,8677900,11838
49,chdir,35,6438100,183945
43,statfs64,70,5815300,83075
59,pipe2,145,5764300,39753
124,yield,89,5269800,59211
68,pwrite64,96,4765800,49643
21,epoll_ctl,15,4272700,284846
261,prlimit64,431,3561200,8262
99,set_robust_list,365,3120000,8547
199,socketpair,26,2865000,110192
24,dup2,223,2357700,10572
32,flock,88,2292900,26055
439,faccessat2,46,2172900,47236
216,mremap,20,2143400,107170
131,tgkill,1,1766400,1766400
178,gettid,289,1730400,5987
53,fchmodat,3,1668700,556233
96,set_tid_address,112,1355300,12100
258,unknown,294,966300,3286
55,fchown,4,794700,198675
107,timer_create,2,707100,353550
139,sigreturn,25,672500,26900
110,timer_settime,2,668700,334350
20,epoll_create1,14,588900,42064
46,ftruncate,1,569900,569900
167,prctl,173,532700,3079
160,uname,41,508700,12407
19,eventfd2,14,504600,36042
44,fstatfs64,2,391700,195850
293,unknown,112,287500,2566
165,getrusage,1,275500,275500
172,getpid,157,244300,1556
223,fadvise64,3,210100,70033
175,geteuid,64,176700,2760
430,fsopen,3,172900,57633
174,getuid,56,164400,2935
154,setpgid,6,118700,19783
23,dup,20,110300,5515
95,unknown,2,75700,37850
176,getgid,23,58400,2539
177,getegid,23,50700,2204
173,getppid,7,22500,3214
166,umask,4,15500,3875
155,getpgid,1,5500,5500
22,epoll_pwait,14,0,0
26,inotify_init1,0,0,0
36,symlinkat,0,0,0
39,umount,0,0,0
40,mount,0,0,0
41,pivot_root,0,0,0
45,truncate,0,0,0
47,fallocate,0,0,0
50,fchdir,0,0,0
51,chroot,0,0,0
52,fchmod,0,0,0
54,fchownat,0,0,0
65,readv,0,0,0
66,writev,0,0,0
69,preadv,0,0,0
70,pwritev,0,0,0
71,sendfile64,0,0,0
74,signalfd4,0,0,0
76,splice,0,0,0
81,sync,0,0,0
83,fdatasync,0,0,0
85,timerfd_create,0,0,0
89,acct,0,0,0
90,capget,0,0,0
91,capset,0,0,0
93,exit,49,0,0
94,exit_group,92,0,0
97,unshare,0,0,0
100,get_robust_list,0,0,0
101,nanosleep,0,0,0
102,getitimer,0,0,0
103,setitimer,0,0,0
112,clock_settime,0,0,0
114,clock_getres,0,0,0
115,clock_nanosleep,0,0,0
116,syslog,0,0,0
119,sched_setscheduler,0,0,0
120,sched_getscheduler,0,0,0
121,sched_getparam,0,0,0
122,sched_setaffinity,0,0,0
130,tkill,0,0,0
136,rt_sigpending,0,0,0
137,rt_sigtimedwait,0,0,0
140,set_priority,0,0,0
141,get_priority,0,0,0
143,setregid,0,0,0
144,setgid,0,0,0
145,setreuid,0,0,0
146,setuid,0,0,0
147,setresuid,0,0,0
148,getresuid,0,0,0
149,setresgid,0,0,0
150,getresgid,0,0,0
153,times,0,0,0
156,getsid,0,0,0
157,setsid,0,0,0
158,getgroups,0,0,0
159,setgroups,0,0,0
163,getrlimit,0,0,0
164,setrlimit,0,0,0
168,getcpu,0,0,0
169,gettimeofday,0,0,0
170,settimeofday,0,0,0
171,adjtimex,0,0,0
179,sysinfo,0,0,0
194,shmget,0,0,0
195,shmctl,0,0,0
196,shmat,0,0,0
197,shmdt,0,0,0
198,socket,0,0,0
200,bind,0,0,0
201,listen,0,0,0
202,accept,0,0,0
203,connect,0,0,0
204,getsockname,0,0,0
205,getpeername,0,0,0
206,sendto,0,0,0
208,setsockopt,0,0,0
209,getsockopt,0,0,0
210,shutdown,0,0,0
211,sendmsg,0,0,0
212,recvmsg,0,0,0
217,add_key,0,0,0
219,keyctl,0,0,0
227,msync,0,0,0
228,mlock,0,0,0
229,munlock,0,0,0
230,mlockall,0,0,0
231,munlockall,0,0,0
236,get_mempolicy,0,0,0
241,perf_event_open,0,0,0
242,accept4,0,0,0
262,fanotify_init,0,0,0
